,Director,No. of critics for reviews,Duration,No. of Facebook likes for Director,No. of Facebook likes for Actor 3,Actor 2,No. of Facebook likes for Actor 1,Gross Revenue,Actor 1,No. of users who voted,Total Facebook likes for cast,Actor 3,No. of users for reviews,Language,Country,Content Rating,Budget,No. of Facebook likes for Actor 2,IMDb Score,Aspect Ratio,No. of Facebook likes for Movie,Release Date,Studio,Title,Average Metacritic Score
1227,Nanette Burstein,167.0,102.0,8.0,472.0,Kelli Garner,839.0,17797316.0,Rob Riggle,50523,2961,Jim Gaffigan,113.0,English,USA,R,32000000.0,730.0,6.3,2.35,0,09/03/2010,New Line Cinema,Going the Distance,55.096774193548384
1228,Stephen Herek,42.0,143.0,65.0,320.0,Olympia Dukakis,975.0,82528097.0,Alicia Witt,30230,2223,Jean Louisa Kelly,154.0,English,USA,PG,6500000.0,345.0,7.3,2.35,0,12/29/1995,Studio Not Available,Mr. Holland's Opus,62.047619047619044
1229,Ariel Vromen,130.0,113.0,34.0,24.0,Jordi Mollà,10000.0,14268533.0,Gary Oldman,17319,10910,Doug Cockle,100.0,English,UK,R,31500000.0,877.0,6.3,2.35,0,04/15/2016,Summit Entertainment,Criminal,53.37096774193547
1230,Sydney Pollack,66.0,161.0,521.0,184.0,Michael Gough,11000.0,87100000.0,Meryl Streep,52339,12518,Michael Kitchen,200.0,English,USA,PG,31000000.0,920.0,7.2,1.85,0,12/18/1985,Universal Pictures,Out of Africa,68.22222222222223
1231,Robert Zemeckis,449.0,138.0,0.0,874.0,Bruce Greenwood,18000.0,93749203.0,Denzel Washington,264047,20952,Nadine Velazquez,491.0,English,USA,R,31000000.0,984.0,7.3,2.35,64000,11/02/2012,Paramount Pictures,Flight,76.95
1232,Lewis Gilbert,121.0,126.0,43.0,177.0,Lois Chiles,244.0,62700000.0,Desmond Llewelyn,69534,1008,Lois Maxwell,294.0,English,UK,PG,34000000.0,202.0,6.3,2.35,0,06/29/1979,United Artists,Moonraker,68.30769230769229
1233,Wes Anderson,536.0,99.0,0.0,670.0,Tom Wilkinson,13000.0,59073773.0,Bill Murray,475518,15082,F. Murray Abraham,644.0,English,USA,R,25000000.0,1000.0,8.1,1.37,149000,03/07/2014,Fox Searchlight,The Grand Budapest Hotel,87.45833333333331
1234,Scott Hicks,135.0,101.0,96.0,442.0,Mika Boorem,12000.0,24185781.0,Anthony Hopkins,30339,13811,Hope Davis,268.0,English,USA,PG-13,31000000.0,495.0,6.9,2.35,0,09/28/2001,Warner Bros.,Hearts in Atlantis,60.1
1235,Frank Marshall,74.0,103.0,155.0,125.0,Peter Jason,687.0,53133888.0,Julian Sands,50389,1440,Brian McNamara,136.0,English,USA,PG-13,31000000.0,151.0,6.3,1.85,0,07/18/1990,Buena Vista Pictures,Arachnophobia,69.54545454545455
1236,Gregory Hoblit,168.0,118.0,40.0,617.0,Andre Braugher,2000.0,44983704.0,Dennis Quaid,81866,4045,Noah Emmerich,510.0,English,USA,PG-13,31000000.0,702.0,7.3,2.35,0,04/28/2000,New Line Cinema,Frequency,70.3125
1237,John Francis Daley,204.0,99.0,0.0,816.0,Norman Reedus,26000.0,58879132.0,Chris Hemsworth,66123,40312,Beverly D'Angelo,219.0,English,USA,R,31000000.0,12000.0,6.1,2.35,28000,07/29/2015,Warner Bros. Pictures,Vacation,40.39393939393939
1238,Barry Sonnenfeld,96.0,105.0,188.0,482.0,Rene Russo,848.0,72077000.0,Delroy Lindo,62986,3439,Jon Gries,150.0,English,USA,R,30250000.0,808.0,6.9,1.85,0,10/20/1995,MGM,Get Shorty,81.81818181818181
1239,Rob Marshall,223.0,113.0,252.0,90.0,Chita Rivera,539.0,170684505.0,Colm Feore,172080,813,Jayne Eastwood,1017.0,English,USA,PG-13,45000000.0,151.0,7.2,1.85,0,12/27/2002,Miramax Films,Chicago,82.46153846153847
1240,Dennis Dugan,112.0,93.0,221.0,781.0,Adam Sandler,12000.0,163479795.0,Steve Buscemi,161858,26760,Joey Lauren Adams,289.0,English,USA,PG-13,34200000.0,11000.0,6.4,1.85,0,06/25/1999,Columbia Pictures,Big Daddy,47.03846153846154
1241,J.B. Rogers,142.0,108.0,6.0,1000.0,Shannon Elizabeth,3000.0,145096820.0,Alyson Hannigan,200260,7872,Natasha Lyonne,431.0,English,USA,R,30000000.0,1000.0,6.4,1.85,0,08/10/2001,Universal Pictures,American Pie 2,49.35714285714285
1242,John Lasseter,166.0,74.0,487.0,802.0,John Ratzenberger,15000.0,191796233.0,Tom Hanks,623757,19046,Jim Varney,391.0,English,USA,G,30000000.0,1000.0,8.3,1.85,0,11/22/1995,Buena Vista,Toy Story,93.8846153846154
1243,Jan de Bont,114.0,116.0,101.0,780.0,Alan Ruck,18000.0,121248145.0,Keanu Reeves,260981,20966,Joe Morton,373.0,English,USA,R,25000000.0,946.0,7.2,2.35,0,06/10/1994,20th Century Fox,Speed,79.3529411764706
1244,Michael Sucsy,214.0,104.0,23.0,281.0,Lucas Bryant,17000.0,125014030.0,Channing Tatum,145852,18322,Dillon Casey,164.0,English,USA,PG-13,30000000.0,359.0,6.8,2.35,32000,02/10/2012,Sony Pictures,The Vow,49.39285714285714
1245,Tom Vaughan,126.0,106.0,12.0,946.0,Brendan Fraser,11000.0,11854694.0,Harrison Ford,14281,17560,Alan Ruck,64.0,English,USA,PG,31000000.0,3000.0,6.5,1.85,0,01/22/2010,CBS Films,Extraordinary Measures,51.24242424242424
1246,Boaz Yakin,157.0,120.0,132.0,1000.0,Denzel Washington,33000.0,115648585.0,Ryan Gosling,160776,54877,Ethan Suplee,402.0,English,USA,PG,30000000.0,18000.0,7.8,2.35,0,09/23/2000,Walt Disney Pictures,Remember the Titans,55.625
1247,John McTiernan,104.0,135.0,323.0,495.0,Jeffrey Jones,826.0,122012643.0,Scott Glenn,143696,2575,Courtney B. Vance,241.0,English,USA,PG,30000000.0,692.0,7.6,2.35,0,03/02/1990,Paramount Pictures,The Hunt for Red October,62.352941176470594
1248,Lee Daniels,304.0,132.0,304.0,898.0,David Oyelowo,15000.0,116631310.0,Alex Pettyfer,87665,20035,Vanessa Redgrave,323.0,English,USA,PG-13,30000000.0,1000.0,7.2,1.85,41000,08/16/2013,The Weinstein Company,Lee Daniels' The Butler,67.63829787234043
1249,Barry Sonnenfeld,55.0,99.0,188.0,436.0,Raul Julia,1000.0,113502246.0,Anjelica Huston,96607,3696,Carel Struycken,125.0,English,USA,PG-13,38000000.0,1000.0,6.8,1.85,5000,11/22/1991,Paramount Pictures,The Addams Family,60.26315789473684
1250,Garry Marshall,108.0,111.0,0.0,529.0,Hector Elizondo,11000.0,108244774.0,Anne Hathaway,94049,13645,Heather Matarazzo,301.0,English,USA,G,37000000.0,995.0,6.2,1.85,0,07/29/2001,Walt Disney Pictures,The Princess Diaries,57.74074074074074
1251,Neill Blomkamp,472.0,112.0,662.0,107.0,Jed Brophy,2000.0,115646235.0,Sharlto Copley,531737,2639,Jason Cope,1262.0,English,South Africa,R,30000000.0,433.0,8.0,1.85,22000,08/14/2009,Sony Pictures/Screen Gems,District 9,81.3888888888889
1252,Clint Eastwood,229.0,138.0,16000.0,262.0,Spencer Treat Clark,616.0,90135191.0,John Doman,338415,1942,Tom Guiry,935.0,English,USA,R,25000000.0,541.0,8.0,2.35,12000,10/08/2003,WB,Mystic River,83.78571428571429
1253,Clint Eastwood,268.0,132.0,16000.0,567.0,Morgan Freeman,16000.0,100422786.0,Clint Eastwood,482064,28830,Mike Colter,1106.0,English,USA,PG-13,30000000.0,11000.0,8.1,2.35,14000,12/15/2004,Warner Bros. Pictures,Million Dollar Baby,87.94871794871794
1254,Harold Ramis,145.0,103.0,11000.0,636.0,Chazz Palminteri,22000.0,106694016.0,Robert De Niro,123940,24333,Molly Shannon,337.0,English,USA,R,30000000.0,979.0,6.7,1.85,0,03/05/1999,Warner Bros. Pictures,Analyze This,63.7
1255,Nick Cassavetes,177.0,123.0,415.0,545.0,Kevin Connolly,33000.0,64286.0,Ryan Gosling,396396,34495,Gena Rowlands,1111.0,English,USA,PG-13,29000000.0,638.0,7.9,2.35,57000,08/29/2014,Sony Pictures Classics,The Notebook,59.0
1256,Anne Fletcher,175.0,111.0,98.0,71.0,Bern Cohen,2000.0,76806312.0,Judy Greer,124501,2978,Yetta Gottesman,154.0,English,USA,PG-13,30000000.0,805.0,6.1,2.35,0,01/09/2008,20th Century Fox,27 Dresses,52.548387096774185
1257,Peter Chelsom,131.0,102.0,23.0,635.0,Vanessa Williams,1000.0,79566871.0,Emily Osment,31760,4516,Moises Arias,140.0,English,USA,G,30000000.0,1000.0,4.2,1.85,0,04/10/2009,Walt Disney Pictures,Hannah Montana: The Movie,51.2
1258,Barbra Streisand,30.0,132.0,0.0,252.0,Blythe Danner,769.0,74787599.0,George Carlin,12549,1936,Melinda Dillon,109.0,English,USA,R,30000000.0,713.0,6.6,1.85,883,12/25/1991,Sony Pictures Home Entertainment,The Prince of Tides,68.28571428571429
1259,Edward Zwick,57.0,133.0,380.0,918.0,Brad Pitt,12000.0,66528842.0,Anthony Hopkins,112175,26388,Julia Ormond,329.0,English,USA,R,30000000.0,11000.0,7.5,1.85,11000,12/23/1994,Sony Pictures Home Entertainment,Legends of the Fall,45.8695652173913
1260,Jason Reitman,391.0,108.0,655.0,940.0,Anna Kendrick,24000.0,83813460.0,J.K. Simmons,270238,35209,Chris Lowell,452.0,English,USA,R,25000000.0,10000.0,7.4,1.85,19000,12/04/2009,Paramount Pictures,Up in the Air,84.52777777777777
1261,Alexander Payne,217.0,125.0,729.0,322.0,June Squibb,442.0,65010106.0,Hope Davis,107557,1556,Howard Hesseman,612.0,English,USA,R,30000000.0,344.0,7.2,1.85,0,12/13/2002,New Line Cinema,About Schmidt,84.9
1262,Jonathan Levine,452.0,98.0,129.0,7.0,Vincent Leclerc,303.0,66359959.0,Cory Hardrict,184641,337,Daniel Rindress-Kay,326.0,English,USA,PG-13,35000000.0,18.0,6.9,2.35,81000,02/01/2013,Lionsgate Films,Warm Bodies,62.92307692307693
1263,Rian Johnson,589.0,119.0,0.0,502.0,Bruce Willis,23000.0,66468315.0,Joseph Gordon-Levitt,428916,37387,Tracie Thoms,667.0,English,USA,R,30000000.0,13000.0,7.4,2.35,75000,09/28/2012,Sony Pictures,Looper,83.45454545454545
1264,Chris Weitz,61.0,87.0,129.0,560.0,Mark Addy,979.0,64172251.0,Chazz Palminteri,19079,2911,Wanda Sykes,122.0,English,USA,PG-13,30000000.0,891.0,5.4,1.85,602,02/16/2001,Paramount Pictures,Down to Earth,39.67857142857143
1265,Chris Noonan,79.0,91.0,108.0,204.0,Christine Cavanaugh,405.0,66600000.0,Miriam Margolyes,94435,1185,Roscoe Lee Browne,182.0,English,Australia,G,30000000.0,368.0,6.8,1.85,5000,08/04/1995,Universal Pictures,Babe,82.5625
1266,Nicholas Stoller,253.0,118.0,89.0,344.0,Jack McBrayer,15000.0,62877175.0,Mila Kunis,217507,16758,Maria Thayer,325.0,English,USA,R,30000000.0,975.0,7.2,1.85,0,03/10/2008,Universal Pictures,Forgetting Sarah Marshall,70.21621621621621
1267,John Singleton,123.0,109.0,309.0,482.0,Tony Nappo,1000.0,74484168.0,Josh Charles,109894,2740,Fionnula Flanagan,340.0,English,USA,R,45000000.0,654.0,6.9,2.35,0,08/12/2005,Paramount Pictures,Four Brothers,52.935483870967744
1268,Michael McCullers,145.0,99.0,5.0,966.0,Amy Poehler,2000.0,60269340.0,Tina Fey,34079,6930,Romany Malco,97.0,English,USA,PG-13,30000000.0,1000.0,6.0,1.85,0,04/25/2008,Universal Pictures,Baby Mama,57.941176470588225
1269,Forest Whitaker,65.0,114.0,0.0,545.0,Harry Connick Jr.,970.0,60033780.0,Bill Cobbs,18973,2860,Gena Rowlands,162.0,English,USA,PG-13,30000000.0,631.0,5.9,1.85,0,05/29/1998,Twentieth Century Fox Home Entertainment,Hope Floats,47.10526315789475
1270,Gary Winick,152.0,89.0,56.0,545.0,Steve Howey,11000.0,58715510.0,Anne Hathaway,79094,13794,Candice Bergen,129.0,English,USA,PG,30000000.0,826.0,5.4,1.85,0,01/09/2009,20th Century Fox,Bride Wars,31.86666666666667
1271,Steven Brill,94.0,95.0,65.0,246.0,Scott Adsit,506.0,58156435.0,Antony Starr,37479,1266,Bonnie Somerville,152.0,English,USA,PG-13,19000000.0,316.0,5.9,2.35,0,08/20/2004,Paramount Pictures,Without a Paddle,36.0
1272,Gary Winick,119.0,98.0,56.0,533.0,Judy Greer,3000.0,56044241.0,Jennifer Garner,122187,6742,Christa B. Allen,339.0,English,USA,PG-13,37000000.0,2000.0,6.1,1.85,0,04/23/2004,Sony Pictures,13 Going on 30,62.68571428571428
1273,Woody Allen,487.0,94.0,11000.0,183.0,Audrey Fleurot,617.0,56816662.0,Kurt Fuller,301149,1289,Nina Arianda,509.0,English,Spain,PG-13,17000000.0,204.0,7.7,1.85,78000,06/10/2011,Sony Pictures Classics,Midnight in Paris,81.275
1274,Peter Lepeniotis,121.0,85.0,7.0,691.0,Brendan Fraser,14000.0,64238770.0,Liam Neeson,19547,18795,Sarah Gadon,64.0,English,Canada,PG,42000000.0,3000.0,5.8,1.85,0,01/17/2014,Open Road Films,The Nut Job,41.92857142857143
1275,Ted Demme,147.0,124.0,47.0,877.0,Ethan Suplee,40000.0,52937130.0,Johnny Depp,198066,43453,Jordi Mollà,426.0,English,USA,R,30000000.0,1000.0,7.6,2.35,13000,04/06/2001,New Line Cinema,Blow,56.558823529411775
1276,Luis Mandoki,85.0,131.0,43.0,362.0,John Savage,18000.0,52799004.0,Robin Wright,28942,19815,Raphael Sbarge,223.0,English,USA,PG-13,55000000.0,652.0,6.1,2.35,0,02/12/1999,Warner Bros. Pictures,Message in a Bottle,46.56521739130435
1277,John Schultz,39.0,99.0,13.0,837.0,Robert Forster,1000.0,51432423.0,Brenda Song,15074,3679,Anne Meara,72.0,English,USA,PG,30000000.0,889.0,5.1,1.85,1000,07/03/2002,20th Century Fox,Like Mike,50.74074074074074
1278,John Glen,108.0,131.0,46.0,433.0,Alison Doody,1000.0,50300000.0,Patrick Macnee,68565,2943,Tanya Roberts,300.0,English,UK,PG,30000000.0,439.0,6.3,2.35,0,05/24/1985,MGM/UA Entertainment Company,A View to a Kill,46.7
1279,Richard LaGravenese,131.0,126.0,98.0,37.0,Harry Connick Jr.,18000.0,53680848.0,Gerard Butler,167967,18726,Nellie McKay,243.0,English,USA,PG-13,30000000.0,631.0,7.1,1.85,20000,12/21/2007,Warner Bros. Pictures,P.S. I Love You,44.45833333333334
1280,Joe Wright,316.0,123.0,456.0,286.0,Alfie Allen,19000.0,50921738.0,Benedict Cumberbatch,192930,20499,Brenda Blethyn,581.0,English,UK,R,30000000.0,1000.0,7.8,1.85,12000,09/07/2007,Focus Features,Atonement,84.77777777777777
1281,Gary Winick,159.0,105.0,56.0,22.0,Marcia DeBonis,898.0,53021560.0,Vanessa Redgrave,74630,1026,Luisa Ranieri,156.0,English,USA,PG,30000000.0,60.0,6.5,2.35,13000,05/14/2010,Summit Entertainment,Letters to Juliet,53.647058823529406
1282,Ridley Scott,63.0,125.0,0.0,237.0,Ken Takakura,939.0,45645204.0,Stephen Root,39306,1748,Kate Capshaw,119.0,English,USA,R,30000000.0,255.0,6.6,2.35,0,02/16/1999,Paramount Home Video,Black Rain,59.77777777777778
1283,Denis Villeneuve,478.0,121.0,777.0,219.0,Bernardo Saracino,455.0,46875468.0,Edgar Arreola,196217,1467,Daniel Kaluuya,461.0,English,USA,R,30000000.0,221.0,7.6,2.39,59000,10/02/2015,Lionsgate,Sicario,82.58333333333333
1284,Antoine Fuqua,305.0,124.0,845.0,424.0,50 Cent,15000.0,52418902.0,Jake Gyllenhaal,147128,16881,Oona Laurence,277.0,English,USA,R,30000000.0,1000.0,7.5,2.35,44000,07/24/2015,The Weinstein Company,Southpaw,62.067796610169495
1285,Sam Raimi,397.0,99.0,0.0,828.0,Alison Lohman,2000.0,42057340.0,Bojana Novakovic,158354,5642,Reggie Lee,691.0,English,USA,PG-13,30000000.0,1000.0,6.6,2.35,11000,05/29/2009,Universal Pictures,Drag Me to Hell,81.6875
1286,Lee Toland Krieger,214.0,112.0,43.0,1000.0,Michiel Huisman,11000.0,42478175.0,Harrison Ford,93767,15327,Ellen Burstyn,209.0,English,USA,PG-13,25000000.0,2000.0,7.2,2.35,34000,04/24/2015,Lionsgate,The Age of Adaline,55.25
1287,Tim McCanlies,82.0,111.0,23.0,1000.0,Robert Duvall,3000.0,41407470.0,Haley Joel Osment,43378,9638,Emmanuelle Vaugier,292.0,English,USA,PG,30000000.0,3000.0,7.6,1.85,0,09/19/2003,New Line Cinema,Secondhand Lions,56.87878787878788
1288,John Stockwell,69.0,104.0,134.0,64.0,Mika Boorem,585.0,40118420.0,Faizon Love,26066,1165,Sanoe Lake,216.0,English,USA,PG-13,30000000.0,495.0,5.6,1.85,0,08/16/2002,Universal Pictures,Blue Crush,62.48484848484848
1289,Marc Forster,253.0,113.0,395.0,77.0,Christian Stolte,8000.0,40137776.0,Will Ferrell,186977,8362,Danny Rhodes,529.0,English,USA,PG-13,38000000.0,189.0,7.6,1.85,13000,11/10/2006,Sony Pictures,Stranger Than Fiction,69.42857142857143
1290,David Slade,304.0,113.0,171.0,63.0,Mark Rendall,430.0,39568996.0,Danny Huston,138435,814,Megan Franich,527.0,English,USA,R,32000000.0,72.0,6.6,2.35,0,10/19/2007,Sony Pictures/Columbia,30 Days of Night,58.31034482758621
1291,Drew Goddard,634.0,95.0,246.0,751.0,Bradley Whitford,26000.0,42043633.0,Chris Hemsworth,277172,29551,Kristen Connolly,986.0,English,USA,R,30000000.0,821.0,7.0,2.35,66000,04/13/2012,Lionsgate Films,The Cabin in the Woods,74.2
1292,Martin Brest,77.0,126.0,102.0,497.0,Yaphet Kotto,22000.0,38413606.0,Robert De Niro,54042,23866,Philip Baker Hall,215.0,English,USA,R,30000000.0,581.0,7.6,1.85,0,07/11/1988,MCA Universal Home Video,Midnight Run,79.8125
1293,Paul Michael Glaser,120.0,101.0,343.0,384.0,Maria Conchita Alonso,581.0,38122105.0,Yaphet Kotto,112669,2373,Richard Dawson,226.0,English,USA,R,27000000.0,571.0,6.6,1.37,0,11/13/1987,Vestron Video,The Running Man,47.75
1294,Frank Oz,63.0,102.0,0.0,413.0,Jim Belushi,13000.0,38747385.0,Bill Murray,49349,15308,Tisha Campbell-Martin,165.0,English,USA,PG-13,25000000.0,854.0,6.9,1.85,0,12/19/1986,Warner Bros. Pictures,Little Shop of Horrors,79.46666666666667
1295,Joe Wright,417.0,111.0,456.0,21.0,Vicky Krieps,157.0,40247512.0,Jessica Barden,159198,257,John Macmillan,438.0,English,USA,PG-13,30000000.0,33.0,6.8,2.35,38000,04/08/2011,Focus Features,Hanna,67.3
1296,John R. Leonetti,59.0,95.0,40.0,342.0,Talisa Soto,663.0,35927406.0,Brian Thompson,36363,2266,Robin Shou,256.0,English,USA,PG-13,30000000.0,349.0,3.7,1.85,1000,11/21/1997,New Line Home Entertainment,Mortal Kombat: Annihilation,21.08333333333333
1297,Tom Hanks,218.0,98.0,15000.0,392.0,Rob Riggle,15000.0,35565975.0,Tom Hanks,49205,16827,Randall Park,184.0,English,USA,PG-13,30000000.0,839.0,6.1,2.35,0,07/01/2011,Universal Pictures,Larry Crowne,48.19512195121951
1298,Kimberly Peirce,359.0,100.0,108.0,534.0,Judy Greer,17000.0,35266619.0,Chloë Grace Moretz,108242,20051,Portia Doubleday,371.0,English,USA,R,30000000.0,2000.0,5.9,2.35,39000,10/18/2013,Sony Pictures,Carrie,64.1875
1299,Liz Friedlander,101.0,118.0,3.0,439.0,Yaya DaCosta,1000.0,34703228.0,Alfre Woodard,21767,3797,Jasika Nicole,127.0,English,USA,PG-13,30000000.0,712.0,6.7,1.85,0,04/07/2006,New Line Cinema,Take the Lead,57.73333333333333
1300,Phil Joanou,85.0,125.0,21.0,581.0,Jurnee Smollett-Bell,12000.0,38432823.0,Dwayne Johnson,33067,15811,Kevin Dunn,134.0,English,USA,PG-13,30000000.0,2000.0,6.9,2.35,0,09/15/2006,Sony Pictures,Gridiron Gang,56.88
1301,Sam Weisman,64.0,94.0,39.0,506.0,Larry Miller,1000.0,32095318.0,Bernie Mac,12466,3664,Richard Schiff,84.0,English,USA,PG-13,45000000.0,611.0,5.5,1.85,304,06/01/2001,MGM,What's the Worst That Could Happen?,42.17857142857143
1302,Shane Acker,263.0,79.0,30.0,265.0,Alan Oppenheimer,940.0,31743332.0,Martin Landau,111117,1594,Tom Kane,245.0,English,USA,PG-13,30000000.0,271.0,7.1,1.85,13000,09/09/2009,Focus Features,9,63.354838709677416
1303,Steven Soderbergh,450.0,106.0,0.0,273.0,David Costabile,17000.0,32154410.0,Channing Tatum,148327,18469,Katie Lowes,274.0,English,USA,R,30000000.0,681.0,7.1,1.85,29000,09/09/2005,WARNER BROTHERS PICTURES,Side Effects,74.825
1304,Stephen J. Anderson,162.0,63.0,15.0,69.0,Robert Lopez,759.0,26687172.0,Craig Ferguson,15600,1002,Huell Howser,55.0,English,USA,G,30000000.0,73.0,7.3,1.85,0,07/15/2011,Walt Disney Pictures,Winnie the Pooh,74.61538461538461
1305,Troy Miller,85.0,85.0,14.0,244.0,Mimi Rogers,577.0,26096584.0,Elden Henson,30651,1653,Cheri Oteri,267.0,English,USA,PG-13,19000000.0,291.0,3.4,1.37,1000,06/13/2003,New Line Cinema,Dumb and Dumberer: When Harry Met Lloyd,25.464285714285715
1306,Warren Beatty,110.0,108.0,631.0,95.0,Kirk Baltz,631.0,26525834.0,Warren Beatty,21998,1023,Graham Beckel,227.0,English,USA,R,30000000.0,199.0,6.8,1.85,0,05/22/1998,20th Century Fox,Bulworth,76.78571428571429
1307,Carl Franklin,64.0,127.0,73.0,433.0,William Hurt,11000.0,23209440.0,Meryl Streep,9283,12785,Tom Everett Scott,112.0,English,USA,R,30000000.0,882.0,7.0,1.85,592,09/18/1998,Universal,One True Thing,67.56
1308,Ivan Reitman,147.0,95.0,425.0,560.0,Eddie Izzard,973.0,22526144.0,Rainn Wilson,53884,2737,Wanda Sykes,203.0,English,USA,PG-13,30000000.0,776.0,5.1,2.35,1000,07/21/2006,20th Century Fox,My Super Ex-Girlfriend,52.60714285714285
1309,Scott Derrickson,242.0,118.0,301.0,897.0,Dorian Missick,2000.0,30523568.0,Olivia Munn,54447,5697,Edgar Ramírez,201.0,English,USA,R,30000000.0,1000.0,6.2,2.35,18000,07/02/2014,Sony Pictures,Deliver Us from Evil,87.1304347826087
1310,Alister Grierson,244.0,108.0,24.0,653.0,Rhys Wakefield,2000.0,23070045.0,Ioan Gruffudd,47003,3892,Richard Roxburgh,215.0,English,USA,R,30000000.0,942.0,5.9,1.85,11000,02/04/2011,Universal Pictures,Sanctum,48.54545454545455
1311,Nick Hurran,73.0,105.0,34.0,642.0,Kevin Sussman,1000.0,20422207.0,Holly Hunter,15052,4369,Dave Annable,116.0,English,USA,PG-13,35000000.0,681.0,5.2,2.35,484,08/06/2004,Sony Pictures,Little Black Book,43.63636363636363
1312,Paul Haggis,239.0,133.0,549.0,343.0,Daniel Stern,10000.0,21129348.0,Olivia Wilde,146364,11799,Aisha Hinds,237.0,English,USA,PG-13,35000000.0,796.0,7.4,2.35,27000,11/19/2010,Lionsgate,The Next Three Days,56.33333333333334
1313,Kurt Wimmer,158.0,94.0,110.0,277.0,Cameron Bright,14000.0,18500966.0,Milla Jovovich,70341,15271,Nick Chinlund,830.0,English,USA,PG-13,30000000.0,829.0,4.4,1.85,0,03/03/2006,Sony Pictures,Ultraviolet,24.947368421052627
1314,Jean-François Richet,152.0,109.0,25.0,431.0,Drea de Matteo,954.0,19976073.0,Brian Dennehy,65979,3148,Hugh Dillon,220.0,English,USA,R,20000000.0,739.0,6.3,2.35,999,01/19/2005,Focus Features,Assault on Precinct 13,63.06521739130435
1315,Antoine Fuqua,105.0,96.0,845.0,488.0,Clifton Collins Jr.,978.0,18967571.0,Mira Sorvino,23345,3072,Patrick Kilpatrick,167.0,English,USA,R,30000000.0,968.0,6.1,2.35,629,02/06/1998,Sony Pictures Home Entertainment,The Replacement Killers,48.45454545454545
1316,Ellory Elkayem,181.0,99.0,11.0,762.0,Doug E. Doug,19000.0,17266505.0,Scarlett Johansson,43764,22554,Riley Smith,291.0,English,USA,PG-13,30000000.0,953.0,5.4,2.35,0,07/17/2002,Warner Bros.,Eight Legged Freaks,57.8125
1317,Jon Avnet,158.0,108.0,50.0,494.0,Alicia Witt,14000.0,16930884.0,Al Pacino,65628,16722,Deborah Kara Unger,262.0,English,USA,R,30000000.0,975.0,5.9,2.35,0,04/18/2008,Sony Pictures Entertainment,88 Minutes,23.48148148148148
1318,Niki Caro,155.0,126.0,51.0,874.0,Charlize Theron,10000.0,18324242.0,Jeremy Renner,32815,20563,Sissy Spacek,214.0,English,USA,R,35000000.0,9000.0,7.3,2.35,0,10/21/2005,Warner Bros. Pictures,North Country,70.8205128205128
1319,Howard Deutch,74.0,98.0,41.0,900.0,Matthew Perry,13000.0,16323969.0,Bruce Willis,45775,18085,Natasha Henstridge,112.0,English,USA,PG-13,40000000.0,2000.0,5.5,1.85,462,04/01/2003,Warner Bros.,The Whole Ten Yards,31.0
1320,Vincenzo Natali,368.0,104.0,165.0,559.0,David Hewlett,900.0,16999046.0,Sarah Polley,79517,2222,Delphine Chanéac,354.0,English,Canada,R,26000000.0,686.0,5.8,1.85,12000,06/04/2010,Warner Brothers,Splice,67.57142857142857
1321,Willard Huyck,81.0,110.0,8.0,322.0,Jeffrey Jones,1000.0,16295774.0,Lea Thompson,33669,3000,Jordan Prentice,269.0,English,USA,PG,35000000.0,692.0,4.6,1.85,0,08/01/1986,Universal Pictures,Howard the Duck,33.714285714285715
1322,Gavin O'Connor,154.0,130.0,149.0,798.0,Rick Gonzalez,1000.0,15709385.0,Jennifer Ehle,53053,5101,Frank Grillo,132.0,English,USA,R,30000000.0,807.0,6.7,1.85,0,10/24/2008,New Line Cinema,Pride and Glory,49.17241379310346
1323,Bruce Hunt,140.0,93.0,2.0,258.0,Cole Hauser,849.0,14888028.0,Eddie Cibrian,28606,2178,Marcel Iures,262.0,English,USA,PG-13,30000000.0,787.0,5.1,2.35,0,08/26/2005,Screen Gems,The Cave,36.79166666666666
1324,Rob Reiner,73.0,96.0,0.0,130.0,Lobo Sebastian,372.0,14208384.0,David Paymer,11520,977,Robert Costanzo,105.0,English,USA,PG-13,30000000.0,206.0,5.6,1.85,625,06/16/2003,Warner Bros.,Alex & Emma,38.142857142857146
1325,Paul McGuigan,98.0,114.0,118.0,40.0,Christopher Cousins,489.0,12831121.0,Jessica Paré,44979,679,Mark Camacho,298.0,English,USA,PG-13,30000000.0,93.0,7.0,2.35,0,09/03/2004,Metro-Goldwyn-Mayer,Wicker Park,43.82352941176471
1326,Craig Gillespie,358.0,106.0,44.0,133.0,Reid Ewing,596.0,18298649.0,Grace Phipps,85024,1393,Sandra Vergara,242.0,English,USA,R,30000000.0,343.0,6.4,1.85,23000,08/19/2011,Walt Disney Pictures,Fright Night,66.0
1327,Terrence Malick,222.0,150.0,0.0,855.0,Michael Greyeyes,23000.0,12712093.0,Christian Bale,70771,27829,Wes Studi,671.0,English,USA,PG-13,30000000.0,909.0,6.7,2.35,0,01/13/2005,New Line Cinema,The New World,73.73684210526315
1328,Jee-woon Kim,376.0,107.0,419.0,165.0,James Burnett,971.0,12026670.0,Zach Gilford,114241,1643,Christiana Leucas,258.0,English,USA,R,45000000.0,236.0,6.4,2.35,24000,01/18/2013,Lionsgate Films,The Last Stand,57.75757575757576
